WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-66.0408782997936 18.3107757598934),UMTS,330,110,41001,1387960,,-66.0408783,18.31077576,1000,2,1,1458850070,1475534133,,-66.0408783,18.31077576
POINT (-66.0408782997936 18.2476043702455),UMTS,330,110,41001,1387589,,-66.0408783,18.24760437,1000,2,1,1458850070,1488689977,,-66.0408783,18.24760437
POINT (-66.1164092998493 18.1734466601353),UMTS,330,110,41001,1387089,,-66.1164093,18.17344666,1000,1,1,1458850070,1450672671,,-66.1164093,18.17344666
POINT (-66.0601043698207 18.3341216997567),UMTS,330,110,41001,1383660,,-66.06010437,18.3341217,1000,1,1,1458850070,1456777422,,-66.06010437,18.3341217
POINT (-66.1534879997714 18.173447000079),UMTS,330,110,41001,1394458,,-66.153488,18.173447,1000,2,1,1458850070,1489480814,,-66.153488,18.173447
POINT (-66.051864620256 18.1995391798893),UMTS,330,110,41001,1398197,,-66.05186462,18.19953918,1000,4,1,1458850070,1490687863,,-66.05186462,18.19953918
POINT (-66.0243987997648 18.2297515901638),UMTS,330,110,41001,1440287,,-66.0243988,18.22975159,1000,1,1,1458850071,1457967131,,-66.0243988,18.22975159
POINT (-66.0625460003976 18.3008580003964),UMTS,330,110,41001,1414888,,-66.062546,18.300858,1000,9,1,1458850070,1489815491,,-66.062546,18.300858
POINT (-66.0395049999557 18.2421112095647),UMTS,330,110,41001,1431460,,-66.039505,18.24211121,1000,1,1,1458850071,1447953195,,-66.039505,18.24211121
POINT (-66.0504913303106 18.2050323495633),UMTS,330,110,41001,1413162,,-66.05049133,18.20503235,1000,3,1,1458850070,1490687863,,-66.05049133,18.20503235
POINT (-66.0312652602835 18.2970428496478),UMTS,330,110,41001,1414688,,-66.03126526,18.29704285,1000,1,1,1458850070,1448457009,,-66.03126526,18.29704285
POINT (-66.0546112100393 18.1940460201078),UMTS,330,110,41001,1413161,,-66.05461121,18.19404602,1000,2,1,1458850070,1490687863,,-66.05461121,18.19404602
POINT (-66.0285186803927 18.2311248801092),UMTS,330,110,41001,1428289,,-66.02851868,18.23112488,1000,1,1,1458850071,1431663946,,-66.02851868,18.23112488
POINT (-65.8802032502797 18.1075286896973),UMTS,330,110,41002,1049917,,-65.88020325,18.10752869,1000,1,1,1458850071,1444555299,,-65.88020325,18.10752869
POINT (-66.0546112100393 18.1912994402171),UMTS,330,110,41001,1413188,,-66.05461121,18.19129944,1000,5,1,1458850070,1490687863,,-66.05461121,18.19129944
POINT (-66.042251589739 18.2503509501363),UMTS,330,110,41001,1414388,,-66.04225159,18.25035095,1000,2,1,1458850070,1490561412,,-66.04225159,18.25035095
POINT (-66.0037990000238 18.3267399996513),UMTS,330,110,41001,1414657,,-66.003799,18.32674,1000,8,1,1458850070,1466090790,,-66.003799,18.32674
POINT (-65.970840449627 18.2503509501363),UMTS,330,110,41002,1060481,,-65.97084045,18.25035095,1000,1,1,1458850071,1428017429,,-65.97084045,18.25035095
POINT (-66.0298920000158 18.2318119999239),UMTS,330,110,41001,1428262,,-66.029892,18.231812,1000,4,1,1458850071,1489000621,,-66.029892,18.231812
POINT (-66.0285186803927 18.2311248801092),UMTS,330,110,41001,1433959,,-66.02851868,18.23112488,1000,2,1,1458850071,1484243715,,-66.02851868,18.23112488
POINT (-66.0230255098194 18.3203887904104),UMTS,330,110,41001,1414662,,-66.02302551,18.32038879,1000,2,1,1458850070,1481462312,,-66.02302551,18.32038879
POINT (-65.9955599995943 18.231124999719),UMTS,330,110,41001,1419162,,-65.99556,18.231125,1000,2,1,1458850070,1488000704,,-65.99556,18.231125
POINT (-66.0285186803927 18.2544708298649),UMTS,330,110,41001,1419189,,-66.02851868,18.25447083,1000,2,1,1458850070,1487139344,,-66.02851868,18.25447083
POINT (-66.1069609999502 18.2543060003217),UMTS,330,110,41001,1422458,,-66.106961,18.254306,1000,25,1,1458850070,1491053151,,-66.106961,18.254306
POINT (-65.8545679998133 18.1615449998019),UMTS,330,110,41002,1064079,,-65.854568,18.161545,1000,3,1,1458850071,1470609950,,-65.854568,18.161545
POINT (-65.9234619995716 18.2438280000622),UMTS,330,110,41002,1062580,,-65.923462,18.243828,1000,4,1,1458850071,1470259414,,-65.923462,18.243828
POINT (-65.8911899997187 18.1871800002568),UMTS,330,110,41002,1063508,,-65.89119,18.18718,1000,2,1,1458850071,1460833756,,-65.89119,18.18718
POINT (-65.8472442601145 18.03749084043),UMTS,330,110,41002,1064609,,-65.84724426,18.03749084,1000,1,1,1458850071,1433963283,,-65.84724426,18.03749084
POINT (-65.8747100797063 18.1734466601353),UMTS,330,110,41002,1063608,,-65.87471008,18.17344666,1000,2,1,1458850071,1460833591,,-65.87471008,18.17344666
POINT (-65.8174899995638 18.1340790003457),UMTS,330,110,41002,1063782,,-65.81749,18.134079,1000,3,1,1458850071,1467596660,,-65.81749,18.134079
POINT (-65.8609771703601 18.0567169203496),UMTS,330,110,41002,1064477,,-65.86097717,18.05671692,1000,1,1,1458850071,1452883896,,-65.86097717,18.05671692
POINT (-65.7181549099211 18.1967925999986),UMTS,330,110,41002,1062707,,-65.71815491,18.1967926,1000,1,1,1458850071,1452102097,,-65.71815491,18.1967926
